INSTNM,SCH_DEG,PREDDEG,CONTROL,CCBASIC,ADM_RATE,ACTCM25,ACTCM75,ACTMTMID,ACTWRMID,SAT_AVG,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,labels
Alabama A & M University,3.0,3.0,1.0,18.0,0.8965,15.0,20.0,17.0,7.74,959.0,14694.0,15379.0,17694.0,17883.0,20483.0,1
University of Alabama at Birmingham,3.0,3.0,1.0,15.0,0.8059999999999999,22.0,30.0,24.0,7.74,1245.0,13443.0,14800.0,17857.0,19141.0,19717.0,1
Amridge University,3.0,2.0,2.0,20.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
University of Alabama in Huntsville,3.0,3.0,1.0,16.0,0.7711,24.0,31.0,26.0,7.74,1300.0,13631.0,15967.0,17054.0,19114.0,19862.0,1
Alabama State University,3.0,3.0,1.0,19.0,0.9888,14.0,20.0,17.0,7.74,938.0,19581.0,19396.0,19853.0,19620.0,17559.0,1
The University of Alabama,3.0,3.0,1.0,15.0,0.8039,23.0,31.0,25.0,8.0,1262.0,17523.0,19434.0,21649.0,23957.0,23605.0,1
Central Alabama Community College,2.0,1.0,1.0,2.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,2308.0,3732.0,4201.0,7803.0,7493.0,2
Athens State University,3.0,3.0,1.0,22.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Auburn University at Montgomery,3.0,3.0,1.0,18.0,0.9555,18.0,23.0,19.0,7.74,1061.0,12134.0,13246.0,15400.0,17204.0,16341.0,1
Auburn University,3.0,3.0,1.0,15.0,0.8507,25.0,31.0,26.0,8.0,1302.0,17866.0,19064.0,23468.0,25389.0,26300.0,1
Birmingham-Southern College,3.0,3.0,2.0,21.0,0.6045,22.0,28.0,24.0,7.74,1202.0,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,1
Chattahoochee Valley Community College,2.0,2.0,1.0,1.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,2686.0,1199.0,4402.0,6231.0,15555.36963190184,2
South University-Montgomery,3.0,3.0,3.0,20.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,8282.877674163467,8999.653119633658,11300.029446407541,13810.511688311686,15555.36963190184,2
Enterprise State Community College,2.0,2.0,1.0,5.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,3220.0,3326.0,5340.0,7673.0,6898.0,2
Coastal Alabama Community College,2.0,2.0,1.0,5.0,0.7116336734693877,20.59856630824373,26.247311827956988,22.647673314339986,7.74,1140.2142230026338,7589.0,8607.0,10988.0,12840.0,13830.0,2
